Code Case Number,Address,Code Case Opened Date,Code Case Type,Code Case Closed Date,Code Case District,Code Case Status,Code Case Description
OLM-003398-2019,"605 CLINKSCALES RD
COLUMBIA, MO 65203",5/22/2019,ONS - Landscape Management,5/28/2019,First,Resolved,VERY HIGH WEEDS  
OTOE-003397-2019,"1519 WINDSOR ST
COLUMBIA, MO 65201",5/22/2019,ONS - Residential Solid Waste Violation,5/28/2019,Third,Resolved,TRash improperly placed
OLM-003387-2019,"2510 HOLLYHOCK DR
COLUMBIA, MO 65202",5/22/2019,ONS - Landscape Management,6/4/2019,Second,Resolved,tall grass both sides of 2508 Hollyhock
OLM-003386-2019,"110 ELK DR
COLUMBIA, MO 65202",5/22/2019,ONS - Landscape Management,5/24/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003388-2019,"108 ELK DR
COLUMBIA, MO 65202",5/22/2019,ONS - Landscape Management,5/24/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003420-2019,"2005 IRIS DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OSSV-003412-2019,"701 SILVERTON CT
COLUMBIA, MO 65203",5/23/2019,ONS - Streets and Sidewalks Violation,6/18/2019,Fifth,Resolved,tree blocking path of sidewalk
OHN-003433-2019,"709 SEYMOUR RD
COLUMBIA, MO 65203",5/23/2019,ONS - Health Nuisance,6/4/2019,Fourth,Voided,"trash, beater cars, lawn mowers, junk"
OLM-003414-2019,"210 RIDGEWAY AVE
COLUMBIA, MO 65203",5/23/2019,ONS - Landscape Management,5/29/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003417-2019,"2111 PRIMROSE DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003434-2019,"1905 COUNTRY CLUB DRIVE SOUTH
COLUMBIA, MO 65201",5/23/2019,ONS - Landscape Management,6/10/2019,Third,Resolved,GRASS OVER TWELVE INCHES
OHN-003432-2019,"2110 MEADOWVALE CT
COLUMBIA, MO 65202",5/23/2019,ONS - Health Nuisance,6/17/2019,Third,Closed,"cat and human feces in the home, noxious ammonia odor is overwhelming those who enter"
OLM-003426-2019,"2709 WAYNESBORO DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/4/2019,Third,Resolved,tall grass
OHN-003407-2019,"1505 LOWE ST
COLUMBIA, MO 65203",5/23/2019,ONS - Health Nuisance,6/10/2019,First,Resolved,DEAD TREES AND FALLES LIMBS ONTO HIS PROPERTY
OLM-003419-2019,"1000 N WEST BLVD
COLUMBIA, MO 65203",5/23/2019,ONS - Landscape Management,6/5/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003411-2019,"800 RIDGEWAY AVE
COLUMBIA, MO 65203",5/23/2019,ONS - Landscape Management,6/4/2019,First,Resolved,per brianna h. 
OHN-003408-2019,"1507 LOWE ST
COLUMBIA, MO 65203",5/23/2019,ONS - Health Nuisance,6/10/2019,First,Resolved,DEAD TREES AND FALLES LIMBS ONTO HIS PROPERTY
OLM-003418-2019,"2309 PRIMROSE DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003428-2019,"1705 ROSE DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003413-2019,"1211 CLINKSCALES RD
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003429-2019,"1800 ROSE DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003421-2019,"2506 MORNING GLORY DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003415-2019,"302 RIDGEWAY AVE
COLUMBIA, MO 65203",5/23/2019,ONS - Landscape Management,6/5/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003416-2019,"803 RIDGEWAY AVE
COLUMBIA, MO 65203",5/23/2019,ONS - Landscape Management,6/5/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003423-2019,"2209 MARICOPA DR
COLUMBIA, MO 65201",5/23/2019,ONS - Landscape Management,6/5/2019,Sixth,Resolved,HIGH GRASS
OLM-003435-2019,"1903 COUNTRY CLUB DR
COLUMBIA, MO 65201",5/23/2019,ONS - Landscape Management,6/11/2019,Third,Resolved,GRASS OVER TWELVE INCHES
OLM-003427-2019,"2509 MORNING GLORY DR
COLUMBIA, MO 65202",5/23/2019,ONS - Landscape Management,6/5/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003456-2019,"1903 LASSO CIR
COLUMBIA, MO 65201",5/24/2019,ONS - Landscape Management,7/2/2019,Sixth,Resolved,CALLER REPORTED 3 FT HIGH GRASS IN THE VACANT 2 LOTS @ THE CORNER OF LASSO CIRCLE AND E OLD HAWTHORNE DR
OPM-003453-2019,"2306 CARPENTER DR
COLUMBIA, MO 65202",5/24/2019,ONS - Property Maintenance,6/28/2019,Second,Resolved,expanded gravel parking on 2306 Carrpenter Dr
OLM-003455-2019,"5911 GREEN GATE LN
COLUMBIA, MO 65201",5/24/2019,ONS - Landscape Management,6/14/2019,Sixth,Resolved,TALL GRASS
OPM-003452-2019,"2306 CARPENTER DR
COLUMBIA, MO 65202",5/24/2019,ONS - Property Maintenance,6/14/2019,Second,Voided,expanded gravel parking on 2306 Carrpenter Dr
OLM-003457-2019,"1901 LASSO CIR
COLUMBIA, MO 65201",5/24/2019,ONS - Landscape Management,7/2/2019,Sixth,Resolved,CALLER REPORTED 3 FT HIGH GRASS IN THE VACANT 2 LOTS @ THE CORNER OF LASSO CIRCLE AND E OLD HAWTHORNE DR
OLM-003468-2019,"1601 MCKEE ST
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,tall grass on lots at Mckee and Alan
OHN-003441-2019,"1411 ROSS ST
COLUMBIA, MO 65201",5/24/2019,ONS - Health Nuisance,6/17/2019,Sixth,Resolved,boxes and trash outside
OLM-003464-2019,"4414 ALAN LN
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,tall grass on lots at Mckee and Alan
OLM-003467-2019,"1605 MCKEE ST
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/17/2019,Third,Resolved,tall grass on lots at Mckee and Alan
OLM-003454-2019,"5907 GREEN GATE LN
COLUMBIA, MO 65201",5/24/2019,ONS - Landscape Management,6/12/2019,Sixth,Resolved,TALL GRASS
OLM-003466-2019,"4418 ALAN LN
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,tall grass on lots at Mckee and Alan
OLM-003447-2019,"805 CLINKSCALES RD
COLUMBIA, MO 65203",5/24/2019,ONS - Landscape Management,6/5/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003450-2019,"603 TOLARIAN CT
COLUMBIA, MO 65203",5/24/2019,ONS - Landscape Management,6/4/2019,Second,Resolved,TALL GRASS BEHIND HER CONDO  
OLM-003449-2019,"3712 PARROT CT
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/6/2019,Second,Resolved, THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003469-2019,"1705 BALLENGER LN
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/4/2019,Third,Resolved,TALL GRASS
OLM-003442-2019,"603 TOLARIAN CT
COLUMBIA, MO 65203",5/24/2019,ONS - Landscape Management,6/4/2019,Second,Resolved,HIGH WEEDS TO THE EAST AND BEHIND HIS HOME ON TOLARIAN
OLM-003451-2019,"3507 ALPS CT
COLUMBIA, MO 65203",5/24/2019,ONS - Landscape Management,6/6/2019,Fourth,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OUV-003446-2019,"401 LINDY LN
COLUMBIA, MO 65203",5/24/2019,ONS - Health Unlicensed Vehicle,9/11/2019,First,Resolved,UNLICENSED RV PARKED ON THE PROPERTY.  SEE NOTES FROM 2682-2019
OLM-003448-2019,"1506 BARNWOOD DR
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/11/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003460-2019,"1701 OXFORD DR
COLUMBIA, MO 65203",5/24/2019,ONS - Landscape Management,6/6/2019,Fourth,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003463-2019,"5106 KRISTOS CT
COLUMBIA, MO 65202",5/24/2019,ONS - Landscape Management,6/5/2019,Third,Resolved,tall weeds and grass
OTOE-003461-2019,"1517 ROSS ST
COLUMBIA, MO 65201",5/25/2019,ONS - Residential Solid Waste Violation,5/24/2019,Sixth,Resolved,torn bags of trash at curb
OLM-003571-2019,"1606 PARIS RD
COLUMBIA, MO 65201",5/28/2019,ONS - Landscape Management,6/28/2019,Third,Resolved,tall grass
OLM-003580-2019,"5899 ARBOR POINTE PKWY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,7/3/2019,Third,Resolved,TALL GRASS ARBOR POINTE PARKWAY BETWEEN ALPHA HEART LEWIS AND  FLAT WATER
OLM-003577-2019,"3406 GOLDENWOOD DR
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,TALL GRASS ARBOR POINTE PARKWAY BETWEEN ALPHA HEART LEWIS AND  FLAT WATER
OLM-003556-2019,"5814 MISTY SPRINGS WAY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/24/2019,Third,Voided,TALL WEEDS ON VACANT LOT
OLM-003570-2019,"5810 MISTY SPRINGS WAY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,TALL WEEDS ON VACANT LOT
OLM-003601-2019,"5840 BROWN STATION RD
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,7/8/2019,Third,Resolved,TALL GRASS ON LOTS IN ARBOR POINTE
OLM-003512-2019,"5826 MISTY SPRINGS WAY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,tall grass
OLM-003569-2019,"5812 MISTY SPRINGS WAY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,TALL WEEDS ON VACANT LOT
OZPARK-003487-2019,"2610 LLOYD DR
COLUMBIA, MO 65203",5/28/2019,ONS -  Residential Parking Violation,7/16/2019,Unknown,Resolved,trailer parked on the yard
OLM-003579-2019,"3407 GOLDENWOOD DR
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,TALL GRASS ARBOR POINTE PARKWAY BETWEEN ALPHA HEART LEWIS AND  FLAT WATER
OHN-003500-2019,"112 OAK ST
COLUMBIA, MO 65203",5/28/2019,ONS - Health Nuisance,6/17/2019,First,Resolved,"CALLER REPORTED, LOTS OF JUNK IN THE BACKYARD. CARS ON THE SIDE OF THE HOME/DUPLEX MAYBE TRIPLEX. ALONG WITH OLD TIRES. CALLER STATED IT WAS VISIABLE FROM THE STREET."
OLM-003572-2019,"4409 RICE RD
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/11/2019,Third,Resolved,TALL GRASS
OLM-003513-2019,"5828 MISTY SPRINGS WAY
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/12/2019,Third,Resolved,tall grass
OHN-003505-2019,"1401 ROSEMARY LN
COLUMBIA, MO 65201",5/28/2019,ONS - Health Nuisance,6/10/2019,Sixth,Resolved,TRASH SCATTERED
OHN-003504-2019,"1315 ROSEMARY LN
COLUMBIA, MO 65201",5/28/2019,ONS - Health Nuisance,6/24/2019,Sixth,Resolved,junk along front and sides.
OPM-003482-2019,"2102 WHISPERING MEADOWS CT
COLUMBIA, MO 65202",5/28/2019,ONS - Property Maintenance,7/22/2019,Third,Resolved,INADEQUATE LIVING ROOM FLOORING
OHN-003508-2019,"1512 ROSEMARY LN
COLUMBIA, MO 65201",5/28/2019,ONS - Health Nuisance,6/17/2019,Sixth,Resolved,TRASH SCATTERED
OLM-003562-2019,"1401 E WALNUT ST
COLUMBIA, MO 65201",5/28/2019,ONS - Landscape Management,6/11/2019,Third,Resolved,TALL GRASS
OHN-003502-2019,"605 S WEST BLVD
COLUMBIA, MO 65203",5/28/2019,ONS - Health Nuisance,6/10/2019,Fourth,Resolved,DEAD TREE LEANING AND DROPPING LIMBS 
OLM-003498-2019,,5/28/2019,ONS - Landscape Management,8/28/2019,First,Voided,"HIGH WEEDS GRASS  VACANT LOT NOTICE TO BANK AND PROPERTY OWNER
MARSHA SAID NOT TO OPEN CASES ON VACANT LOTS  DUE TO ORDINANCE CHANGES 
ON HOLD UNTIL WE GET A COMPLAINT"
OLM-003497-2019,"807 CLINKSCALES RD
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/11/2019,First,Resolved,HIGH WEEDS AND GRASS   SEE NEW MAILING ADDRESS IN NOTES! 8-15-19
OLM-003600-2019,"2701 WAYNESBORO DR
COLUMBIA, MO 65202",5/28/2019,ONS - Landscape Management,6/3/2019,Third,Resolved,"three trees with branches, obstructing sidewalks"
OLM-003496-2019,"608 W SEXTON RD
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/3/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003507-2019,"608 S WEST BLVD
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/4/2019,Fourth,Resolved,tall grass
OHN-003509-2019,"608 S WEST BLVD
COLUMBIA, MO 65203",5/28/2019,ONS - Health Nuisance,6/7/2019,Fourth,Resolved,"brush pile, limbs down"
OLM-003491-2019,"109 WESTWOOD AVE
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/4/2019,Fourth,Resolved,TALL GRASS
OLM-003495-2019,"700 HUNT AVE
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/6/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OSSV-003565-2019,"3904 IGUANA DR
COLUMBIA, MO 65202",5/28/2019,ONS - Streets and Sidewalks Violation,6/3/2019,Second,Resolved,MULTIPLE OBSTRUCTIONS OF SIDEWALKS THROUGHOUT THE SUBDIVISION
OLM-003494-2019,"101 WESTWOOD AVE
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/6/2019,Fourth,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003490-2019,"1701 OXFORD DR
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,5/28/2019,Fourth,Voided,tall grass
OLM-003483-2019,"702 HUNT AVE
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/6/2019,First,Resolved,HIGH GRASS BACKYARD IS HIGH
OLM-003492-2019,"3708 ROLLINS RD
COLUMBIA, MO 65203",5/28/2019,ONS - Landscape Management,6/6/2019,Fourth,Resolved,TALL GRASS IN THE BACKYARD
OPM-003523-2019,"1502 W ASH ST
COLUMBIA, MO 65203",5/29/2019,ONS - Property Maintenance,6/6/2019,First,Resolved,tenant sleeping in basement without proper egress
OLM-003526-2019,"2400 MILICENT CT
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/18/2019,Second,Resolved,TALL GRASS
OHN-003605-2019,"2302 PARIS RD
COLUMBIA, MO 65202",5/29/2019,ONS - Health Nuisance,6/17/2019,Third,Resolved,BRUSH ON THE GROUND
OLM-003527-2019,"3407 SQUIRREL DR
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/12/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003604-2019,"2302 PARIS RD
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/26/2019,Third,Resolved,"THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY, THAT HAVE ATTAINED A HEIGHT OVER TWELVE INCHES."
OLM-003528-2019,"2110 MEADOWVALE CT
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/26/2019,Third,Resolved,TALL VEGETATION
OLM-003533-2019,"308 W WORLEY ST
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/11/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OHN-003561-2019,"910 N SEVENTH ST
COLUMBIA, MO 65201",5/29/2019,ONS - Health Nuisance,6/25/2019,First,Resolved,DEAD TREES IN YARD PLEASE CALL 864-6412 FRANK
OLM-003538-2019,"1005 HARDIN ST
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/4/2019,First,Resolved,HIGH WEEDS
OLM-003531-2019,"310 W WORLEY ST
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/11/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003530-2019,"111 W BLUE RIDGE RD
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/10/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003532-2019,"118 BICKNELL ST
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/11/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES. 
OLM-003535-2019,"1000 MADISON ST
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/11/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OSSV-003551-2019,"3515 DANVERS DR
COLUMBIA, MO 65203",5/29/2019,ONS - Streets and Sidewalks Violation,6/5/2019,Fifth,Voided,OBSTRUCTION OF VEGETATION OVER THE SIDEWALK  DUPLICATE  SEE CASE #3214
OLM-003525-2019,"207 WHITETAIL DR
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/6/2019,Second,Resolved,TALL GRASS
OLM-003529-2019,"3221 DOVE DR
COLUMBIA, MO 65202",5/29/2019,ONS - Landscape Management,6/6/2019,Second,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003536-2019,"207 HIRTH AVE
COLUMBIA, MO 65203",5/29/2019,ONS - Landscape Management,6/10/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OSSV-003543-2019,"2602 CHAMBRAY RD
COLUMBIA, MO 65203",5/30/2019,ONS - Streets and Sidewalks Violation,6/20/2019,Fourth,Resolved,OBSTRUCTION OF SIDEWALKS AND STREET OVERGROWN LIMBS AND SHRUBS
OSSV-003557-2019,"1908 BEAR CREEK DR
COLUMBIA, MO 65202",5/30/2019,ONS - Streets and Sidewalks Violation,6/13/2019,Second,Resolved,OBSTRUCTION OF SIDEWALK BRUSH & VEGETATION
OSSV-003559-2019,"2713 CIMARRON DR
COLUMBIA, MO 65203",5/30/2019,ONS - Streets and Sidewalks Violation,6/18/2019,Fifth,Resolved,VERY LOW LIMBS FROM A TREE IN THIS FRONT YARD.  I MARKED EACH LIMB TO TRIM
OLM-003550-2019,"7 S OLD 63
COLUMBIA, MO 65201",5/30/2019,ONS - Landscape Management,6/17/2019,Sixth,Resolved,tall grass and vegetation over sidewalk along old 63 south from Broadway to Bluff Blvd
OLM-003566-2019,"610 W WORLEY ST
COLUMBIA, MO 65203",5/30/2019,ONS - Landscape Management,6/3/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OSSV-003558-2019,"211 W LESLIE LN
COLUMBIA, MO 65202",5/30/2019,ONS - Streets and Sidewalks Violation,6/13/2019,Second,Resolved,OBSTRUCTION OF SIDEWALK BRUSH & VEGETATION
OLM-003567-2019,"511 W WORLEY ST
COLUMBIA, MO 65203",5/30/2019,ONS - Landscape Management,6/11/2019,First,Resolved,THERE ARE TURF WEEDS AND TURF GRASS ON THE PROPERTY THAT HAVE ATTAINED A HEIGHT OVER 12 INCHES.
OLM-003564-2019,"504 JACKSON ST
COLUMBIA, MO 65203",5/30/2019,ONS - Landscape Management,6/11/2019,First,Resolved,HIGH WEEDS AND GRASS PROPERTY HAS A 4-SALE SIGN IN THE FRONT YARD
OLM-003560-2019,"208 CLINKSCALES RD
COLUMBIA, MO 65203",5/30/2019,ONS - Landscape Management,6/12/2019,First,Resolved,HIGH GRASS/WEEDS FROM JIM STARK
OLM-003563-2019,"707 BANKS AVE
COLUMBIA, MO 65203",5/30/2019,ONS - Landscape Management,6/10/2019,First,Resolved,WEEDS OVER 12 INCHES
OZPARK-003621-2019,"2623 WHITE GATE DR
COLUMBIA, MO 65202",5/31/2019,ONS -  Residential Parking Violation,6/24/2019,Third,Resolved,TWO TRAILERS AND GREEN SUV PARKED ON UNAPPROVED SURFACE
OHN-003635-2019,"408 RIPLEY ST
COLUMBIA, MO 65201",5/31/2019,ONS - Health Nuisance,6/17/2019,Third,Resolved,GENERAL NUISANCE
OUV-002745-2019,"1409 SYLVAN LN
COLUMBIA, MO 65202",5/31/2019,ONS - Health Unlicensed Vehicle,7/9/2019,Third,Resolved,unlicensed truck
OLM-003636-2019,"1511 RICHARDSON ST
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/14/2019,Third,Resolved,TALL GRASS
OHN-003618-2019,"4305 RICE RD
COLUMBIA, MO 65202",5/31/2019,ONS - Health Nuisance,6/28/2019,Third,Resolved,BRUSH
OLM-003593-2019,"1800 NORTH CHARLESTON CIR
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,10/8/2019,Third,Resolved,tall grass
OHN-003640-2019,"1705 BALLENGER LN
COLUMBIA, MO 65202",5/31/2019,ONS - Health Nuisance,6/28/2019,Third,Resolved,tires in the wooded area behind 4614 Orchard
OLM-003633-2019,"408 RIPLEY ST
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/18/2019,Third,Resolved,GENERAL NUISANCE
OLM-003632-2019,"4414 RICE RD
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,6/11/2019,Third,Resolved,TALL GRASS
OZPARK-003643-2019,"2209 CLARK LN
COLUMBIA, MO 65202",5/31/2019,ONS -  Residential Parking Violation,7/3/2019,Third,Resolved,"UNLICENSED, INOPERABLE CAR "
OLM-003602-2019,"2301 HENDRIX DR
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,6/25/2019,Third,Resolved,tall grass
OHN-003638-2019,"1623 PARIS RD
COLUMBIA, MO 65201",5/31/2019,ONS - Health Nuisance,6/17/2019,Third,Resolved,CARPET PAD AT THE CURB
OLM-003608-2019,"2415 QUAIL DR
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,6/14/2019,Third,Resolved,TALL GRASS ON EAST SIDE OF DRIVE
OLM-003599-2019,"2300 HENDRIX DR
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,6/25/2019,Third,Resolved,TALL GRASS
OHN-003590-2019,"102 PERSHING RD
COLUMBIA, MO 65203",5/31/2019,ONS - Health Nuisance,7/11/2019,First,Resolved,DEAD TREE ON THE PROPERTY NORTH CORNER OF THE HOUSE
OSSV-003606-2019,"1601 HINKSON AVE
COLUMBIA, MO 65201",5/31/2019,ONS - Streets and Sidewalks Violation,6/21/2019,Third,Resolved,SIDEWALK OBSTRUCTION
OUV-003619-2019,"2615 WHITE GATE DR
COLUMBIA, MO 65202",5/31/2019,ONS - Health Unlicensed Vehicle,7/16/2019,Third,Resolved,"UNLICENSED, BROWN FORD BRONCO II"
OLM-003603-2019,"1504 JUNE LN
COLUMBIA, MO 65202",5/31/2019,ONS - Landscape Management,7/1/2019,Third,Resolved,TALL GRASS
OPM-003622-2019,"2623 WHITE GATE DR
COLUMBIA, MO 65202",5/31/2019,ONS - Property Maintenance,7/2/2019,Third,Resolved,TWO TRAILERS PARKED ON THE GRASS
OHN-003620-2019,"2623 WHITE GATE DR
COLUMBIA, MO 65202",5/31/2019,ONS - Health Nuisance,7/1/2019,Third,Resolved,"TIRES, METAL BIN OUTSIDE"
OLM-003631-2019,"1621 HINKSON AVE Unit: APT 101
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/18/2019,Third,Resolved,"mud, vegetation over sidewalk on the west side of Ann Street, North of Hinkson"
OLM-003623-2019,"507 N ANN ST
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/17/2019,Third,Resolved,"mud, vegetation over sidewalk on the west side of Ann Street, North of Hinkson"
OLM-003598-2019,"506 N WILLIAM ST
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/11/2019,Third,Resolved,TALL GRASS
OLM-003607-2019,"504 N WILLIAM ST
COLUMBIA, MO 65201",5/31/2019,ONS - Landscape Management,6/17/2019,Third,Resolved,SIDEWALK OBSTRUCTION
OLM-003573-2019,"302 BENTON ST
COLUMBIA, MO 65203",5/31/2019,ONS - Landscape Management,6/10/2019,First,Resolved,"HIGH WEEDS/GRASS DIDNT MOW BACKYARD, DRUG ACTIVITY ISSUES, PARKING ON GRASS"
